ticker,metric,fy,filing,filed,instance_value,instance_tag,sheet_value,sheet_tag,match
KR,total_equity,2023,0001558370-25-004267,2025-04-01,11601000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,11601000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,revenue,2024,0001558370-25-004267,2025-04-01,147123000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,147123000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,revenue,2023,0001558370-25-004267,2025-04-01,150039000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,150039000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,revenue,2022,0001558370-25-004267,2025-04-01,148258000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,148258000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,cost_of_sales,2024,0001558370-25-004267,2025-04-01,113720000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,113720000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2023,0001558370-25-004267,2025-04-01,116675000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,116675000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2022,0001558370-25-004267,2025-04-01,116480000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,116480000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,net_income,2024,0001558370-25-004267,2025-04-01,2665000000.0,NetIncomeLoss,2665000000.0,NetIncomeLoss,True
KR,net_income,2023,0001558370-25-004267,2025-04-01,2164000000.0,NetIncomeLoss,2164000000.0,NetIncomeLoss,True
KR,net_income,2022,0001558370-25-004267,2025-04-01,2244000000.0,NetIncomeLoss,2244000000.0,NetIncomeLoss,True
KR,total_equity,2021,0001558370-25-004267,2025-04-01,9429000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9429000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2022,0001558370-25-004267,2025-04-01,10014000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,10014000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,current_assets,2023,0001558370-24-004603,2024-04-02,12948000000.0,AssetsCurrent,12948000000.0,AssetsCurrent,True
KR,current_assets,2022,0001558370-24-004603,2024-04-02,12670000000.0,AssetsCurrent,12670000000.0,AssetsCurrent,True
KR,current_liabilities,2023,0001558370-24-004603,2024-04-02,16058000000.0,LiabilitiesCurrent,16058000000.0,LiabilitiesCurrent,True
KR,current_liabilities,2022,0001558370-24-004603,2024-04-02,17238000000.0,LiabilitiesCurrent,17238000000.0,LiabilitiesCurrent,True
