ticker,metric,fy,sheet_value_musd,extracted,frames_api,frame,tag,status,period_end,restated,first_value,sheet_vs_extract_ok,frames_match
COST,current_liabilities,2024,35464,35464000000.0,35464000000.0,CY2024Q3I,LiabilitiesCurrent,ok,2024-09-01,False,35464000000.0,True,True
COST,current_liabilities,2025,37108,37108000000.0,,,LiabilitiesCurrent,ok,2025-08-31,False,37108000000.0,True,
COST,total_equity,2015,10843,10843000000.0,10843000000.0,CY2015Q3I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2015-08-30,False,10843000000.0,True,True
COST,total_equity,2016,12332,12332000000.0,,,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2016-08-28,False,12332000000.0,True,
COST,total_equity,2017,11079,11079000000.0,11079000000.0,CY2017Q3I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2017-09-03,False,11079000000.0,True,True
COST,total_equity,2018,13103,13103000000.0,13103000000.0,CY2018Q3I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2018-09-02,False,13103000000.0,True,True
COST,total_equity,2019,15584,15584000000.0,15584000000.0,CY2019Q3I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2019-09-01,False,15584000000.0,True,True
COST,total_equity,2020,18705,18705000000.0,18705000000.0,CY2020Q3I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2020-08-30,False,18705000000.0,True,True
COST,total_equity,2021,18078,18078000000.0,18078000000.0,CY2021Q3I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2021-08-29,False,18078000000.0,True,True
COST,total_equity,2022,20647,20647000000.0,20647000000.0,CY2022Q3I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2022-08-28,False,20647000000.0,True,True
COST,total_equity,2023,25058,25058000000.0,25058000000.0,CY2023Q3I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2023-09-03,False,25058000000.0,True,True
COST,total_equity,2024,23622,23622000000.0,23622000000.0,CY2024Q3I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2024-09-01,False,23622000000.0,True,True
COST,total_equity,2025,29164,29164000000.0,29164000000.0,CY2025Q3I,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,ok,2025-08-31,False,29164000000.0,True,True
KR,revenue,2015,109830,109830000000.0,109830000000.0,CY2015,SalesRevenueGoodsNet,ok,2016-01-30,False,109830000000.0,True,True
KR,revenue,2016,115337,115337000000.0,115337000000.0,CY2016,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2017-01-28,False,115337000000.0,True,True
KR,revenue,2017,123280,123280000000.0,123280000000.0,CY2017,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2018-02-03,True,122662000000.0,True,True
KR,revenue,2018,121852,121852000000.0,121852000000.0,CY2018,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2019-02-02,True,121162000000.0,True,True
KR,revenue,2019,122286,122286000000.0,122286000000.0,CY2019,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2020-02-01,False,122286000000.0,True,True
KR,revenue,2020,132498,132498000000.0,132498000000.0,CY2020,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2021-01-30,False,132498000000.0,True,True
KR,revenue,2021,137888,137888000000.0,137888000000.0,CY2021,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2022-01-29,False,137888000000.0,True,True
KR,revenue,2022,148258,148258000000.0,148258000000.0,CY2022,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2023-01-28,False,148258000000.0,True,True
KR,revenue,2023,150039,150039000000.0,150039000000.0,CY2023,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2024-02-03,False,150039000000.0,True,True
